id,lesson_id,type,question,order,audio_src
37,17,SELECT,Artículo 130 ¿Cómo se clasifican los delitos militares según el Código de Justicia Militar?,1,
38,17,SELECT,"Artículo 131 Conforme al Artículo 131, ¿qué elemento es esencial para que un delito militar sea considerado intencional?",2,
39,17,SELECT,"Artículo 132 El Artículo 132 define el delito de imprudencia como aquel que se comete, entre otras causas, por:",3,
40,17,SELECT,"Artículo 133 De acuerdo con el Artículo 133, ¿cuál de las siguientes figuras NO es responsable en los delitos intencionales?",4,
41,17,SELECT,"Artículo 134 Según el Artículo 134, ¿quiénes son considerados autores en un delito militar?",5,
42,17,SELECT,Artículo 135 El Artículo 135 define a los coautores como:,6,
43,17,SELECT,"Artículo 136 De acuerdo con el Artículo 136, los cómplices se distinguen de otras figuras de participación porque:",7,
44,17,SELECT,"Artículo 137 Según el Artículo 137, si un militar oculta al responsable de un delito por mero favor, ¿cuál es el requisito indispensable para que esta acción se califique como encubrimiento?",8,
45,17,SELECT,"Artículo 138 Según el Artículo 138, ¿cuáles son las penas que se imponen por los delitos del orden militar?",9,
46,17,SELECT,"Artículo 139 Conforme al Artículo 139, la pena de Prisión debe cumplirse:",10,
47,18,SELECT,"Artículo 140 ¿Qué se entiende por Destierro en el contexto del Código de Justicia Militar, según el Artículo 140?",11,
48,18,SELECT,"Artículo 141 De acuerdo con el Artículo 141, la pena de Sujeción a vigilancia de la policía:",12,
49,18,SELECT,"Artículo 142 ¿Cómo se aplica la pena de Multa, conforme al Artículo 142?",13,
50,18,SELECT,"Artículo 143 Según el Artículo 143, ¿qué sucede cuando la pena de Prisión no excede de tres meses?",14,
51,18,SELECT,Artículo 144 El Artículo 144 establece que las penas de Degradación y Destitución de Empleo:,15,
52,18,SELECT,"Artículo 197 Comete el delito de traición a la Patria el militar mexicano que, en tiempo de guerra con un país extranjero, realiza cualquiera de las siguientes acciones, excepto:",16,
53,18,SELECT,Artículo 198 El delito de traición cometido en tiempo de guerra por un militar mexicano es castigado con:,17,
